year,ronda,nombre_carrera,nombre_circuito,fecha_carrera,hora_carrera,fecha_carrera_sprint,url_foto
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2023-03-19,17:00:00Z,NA,backend/fotos_circuitos/saudi_2023.jpg
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,2023-04-02,05:00:00Z,NA,backend/fotos_circuitos/australian_2023.jpg
2023,4,Azerbaijan Grand Prix,Baku City Circuit,2023-04-30,11:00:00Z,2023-04-29,backend/fotos_circuitos/azerbaijan_2023.jpg
2023,5,Miami Grand Prix,Miami International Autodrome,2023-05-07,19:30:00Z,NA,backend/fotos_circuitos/miami_2023.jpg
2023,6,Monaco Grand Prix,Circuit de Monaco,2023-05-28,13:00:00Z,NA,backend/fotos_circuitos/monaco_2023.jpg
2023,7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,13:00:00Z,NA,backend/fotos_circuitos/spanish_2023.jpg
2023,8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,18:00:00Z,NA,backend/fotos_circuitos/canadian_2023.jpg
2023,9,Austrian Grand Prix,Red Bull Ring,2023-07-02,13:00:00Z,2023-07-01,backend/fotos_circuitos/austrian_2023.jpg
2023,10,British Grand Prix,Silverstone Circuit,2023-07-09,14:00:00Z,NA,backend/fotos_circuitos/british_2023.jpg
2023,11,Hungarian Grand Prix,Hungaroring,2023-07-23,13:00:00Z,NA,backend/fotos_circuitos/hungarian_2023.jpg
2023,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,13:00:00Z,2023-07-29,backend/fotos_circuitos/belgian_2023.jpg
2023,13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,13:00:00Z,NA,backend/fotos_circuitos/dutch_2023.jpg
2023,14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,13:00:00Z,NA,backend/fotos_circuitos/italian_2023.jpg
2023,15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,12:00:00Z,NA,backend/fotos_circuitos/singapore_2023.jpg
2023,16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,05:00:00Z,NA,backend/fotos_circuitos/japanese_2023.jpg
2023,17,Qatar Grand Prix,Losail International Circuit,2023-10-08,17:00:00Z,2023-10-07,backend/fotos_circuitos/qatar_2023.jpg
2023,18,United States Grand Prix,Circuit of the Americas,2023-10-22,19:00:00Z,2023-10-21,backend/fotos_circuitos/united_states_2023.jpg
2023,19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,20:00:00Z,NA,backend/fotos_circuitos/mexican_2023.jpg
2023,20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,17:00:00Z,2023-11-04,backend/fotos_circuitos/sao_paulo_2023.jpg
2023,21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,06:00:00Z,NA,backend/fotos_circuitos/las_vegas_2023.jpg
2023,22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,13:00:00Z,NA,backend/fotos_circuitos/abu_dhabi_2023.jpg
2024,1,Bahrain Grand Prix,Bahrain International Circuit,2024-03-02,15:00:00Z,NA,backend/fotos_circuitos/bahrain_2024.jpg
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2024-03-09,17:00:00Z,NA,backend/fotos_circuitos/saudi_2024.jpg
2024,3,Australian Grand Prix,Albert Park Grand Prix Circuit,2024-03-24,04:00:00Z,NA,backend/fotos_circuitos/australian_2024.jpg
2024,4,Japanese Grand Prix,Suzuka Circuit,2024-04-07,05:00:00Z,NA,backend/fotos_circuitos/japanese_2024.jpg
2024,5,Chinese Grand Prix,Shanghai International Circuit,2024-04-21,07:00:00Z,2024-04-20,backend/fotos_circuitos/chinese_2024.jpg
2024,6,Miami Grand Prix,Miami International Autodrome,2024-05-05,20:00:00Z,2024-05-04,backend/fotos_circuitos/miami_2024.jpg
2024,7,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2024-05-19,13:00:00Z,NA,backend/fotos_circuitos/emilia_2024.jpg
2024,8,Monaco Grand Prix,Circuit de Monaco,2024-05-26,13:00:00Z,NA,backend/fotos_circuitos/monaco_2024.jpg
2024,9,Canadian Grand Prix,Circuit Gilles Villeneuve,2024-06-09,18:00:00Z,NA,backend/fotos_circuitos/canadian_2024.jpg
2024,10,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2024-06-23,13:00:00Z,NA,backend/fotos_circuitos/spanish_2024.jpg
2024,11,Austrian Grand Prix,Red Bull Ring,2024-06-30,13:00:00Z,2024-06-29,backend/fotos_circuitos/austrian_2024.jpg
2024,12,British Grand Prix,Silverstone Circuit,2024-07-07,14:00:00Z,NA,backend/fotos_circuitos/british_2024.jpg
2024,13,Hungarian Grand Prix,Hungaroring,2024-07-21,13:00:00Z,NA,backend/fotos_circuitos/hungarian_2024.jpg
2024,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,2024-07-28,13:00:00Z,NA,backend/fotos_circuitos/belgian_2024.jpg
2024,15,Dutch Grand Prix,Circuit Park Zandvoort,2024-08-25,13:00:00Z,NA,backend/fotos_circuitos/dutch_2024.jpg
2024,16,Italian Grand Prix,Autodromo Nazionale di Monza,2024-09-01,13:00:00Z,NA,backend/fotos_circuitos/italian_2024.jpg
2024,17,Azerbaijan Grand Prix,Baku City Circuit,2024-09-15,11:00:00Z,NA,backend/fotos_circuitos/azerbaijan_2024.jpg
2024,18,Singapore Grand Prix,Marina Bay Street Circuit,2024-09-22,12:00:00Z,NA,backend/fotos_circuitos/singapore_2024.jpg
2024,19,United States Grand Prix,Circuit of the Americas,2024-10-20,19:00:00Z,2024-10-19,backend/fotos_circuitos/united_states_2024.jpg
2024,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2024-10-27,20:00:00Z,NA,backend/fotos_circuitos/mexican_2024.jpg
2024,21,São Paulo Grand Prix,Autódromo José Carlos Pace,2024-11-03,17:00:00Z,2024-11-02,backend/fotos_circuitos/sao_paulo_2024.jpg
2024,22,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2024-11-23,06:00:00Z,NA,backend/fotos_circuitos/las_vegas_2024.jpg
2024,23,Qatar Grand Prix,Losail International Circuit,2024-12-01,17:00:00Z,2024-11-30,backend/fotos_circuitos/qatar_2024.jpg
2024,24,Abu Dhabi Grand Prix,Yas Marina Circuit,2024-12-08,13:00:00Z,NA,backend/fotos_circuitos/abu_dhabi_2024.jpg
