year,piloto_id,nombre,abreviacion,pais,url_foto
2024,perez,Sergio Pérez,PER,Mexican,backend/fotos_pilotos/sergio_perez_2024.jpg
2024,piastri,Oscar Piastri,PIA,Australian,backend/fotos_pilotos/oscar_piastri_2024.jpg
2024,ricciardo,Daniel Ricciardo,RIC,Australian,backend/fotos_pilotos/daniel_ricciardo_2024.jpg
2024,russell,George Russell,RUS,British,backend/fotos_pilotos/george_russell_2024.jpg
2024,sainz,Carlos Sainz,SAI,Spanish,backend/fotos_pilotos/carlos_sainz_2024.jpg
2024,sargeant,Logan Sargeant,SAR,American,backend/fotos_pilotos/logan_sargeant_2024.jpg
2024,stroll,Lance Stroll,STR,Canadian,backend/fotos_pilotos/lance_stroll_2024.jpg
2024,tsunoda,Yuki Tsunoda,TSU,Japanese,backend/fotos_pilotos/yuki_tsunoda_2024.jpg
2024,max_verstappen,Max Verstappen,VER,Dutch,backend/fotos_pilotos/max_verstappen_2024.jpg
2024,zhou,Guanyu Zhou,ZHO,Chinese,backend/fotos_pilotos/guanyu_zhou_2024.jpg
